CARD HOLDER NUMBER      |PRIMARY ACCOUNT NUMBER  |EXPIRATION DATE  |maximum ammount  |transaction ammount  |transaction date  |transaction state             |sequence number  
kareem salah elsayed    |2539369821290074        |12/65            |100000.000000    |1245.000000          |12/85/2003        |APPROVED                      |1
kareem salah elsayed    |2539369821290074        |12/85            |100000.000000    |4578.000000          |12/12/2003        |APPROVED                      |2
0123456789012345678952  |2539369821290074        |12/85            |100000.000000    |4587.000000          |12/85/2004        |APPROVED                      |3
kareem salah elsayed    |2539369821290074        |12/58            |100000.000000    |45.000000            |12/85/2003        |APPROVED                      |4
kareem salah elsayed    |2539369821290074        |12/54            |100000.000000    |145.000000           |12/87/2009        |APPROVED                      |5
kareem salah elsayed    |2539369821290074        |85/54            |100000.000000    |45.000000            |12/85/2008        |APPROVED                      |6
kareem salah elsayed    |2539369821290074        |02/25            |100000.000000    |4587.000000          |09/16/2022        |APPROVED                      |7
kareem salah elsayed    |8139386235167160        |02/52            |100000.000000    |40000.000000         |12/85/2001        |APPROVED                      |8
kareem salah elsayed    |8139386235167160        |12/85            |100000.000000    |41200.000000         |12/85/2001        |APPROVED                      |9
0123456789012345678952  |8139386235167160        |12/85            |100000.000000    |45000.000000         |12/52/2005        |APPROVED                      |10
kareem salah elsayed    |8139386235167160        |02/85            |100000.000000    |45222.000000         |12/85/2001        |APPROVED                      |11
kareem salah elsayed    |8139386235167160        |01/85            |100000.000000    |100.000000           |12/85/2009        |APPROVED                      |12
kareem salah elsayed    |8139386235167160        |10/85            |100000.000000    |42001.000000         |12/85/2004        |APPROVED                      |13
kareem salah elsayed    |8139386235167160        |10/85            |100000.000000    |4500.000000          |12/74/2004        |APPROVED                      |14
kareem salah elsayed    |8139386235167160        |02/85            |100000.000000    |1254.000000          |12/85/2002        |APPROVED                      |15
kareem salah elsayed    |8139386235167160        |02/85            |100000.000000    |17.000000            |12/85/2001        |APPROVED                      |16
kareem salah elsayed    |8139386235167160        |01/85            |100000.000000    |1234.000000          |12/85/2001        |APPROVED                      |17
01234567891234567896654 |8139386235167160        |02/85            |100000.000000    |85.000000            |12/85/2006        |APPROVED                      |18
kareem salah elsayed    |8139386235167160        |01/85            |100000.000000    |1296.000000          |85/52/1002        |APPROVED                      |19
kareem salah elsayed    |8139386235167160        |01/85            |100000.000000    |41000.000000         |45/85/2003        |APPROVED                      |20
kareem salah elayedss   |8139386235167160        |12/75            |100000.000000    |48500.000000         |02/85/2001        |APPROVED                      |21
kareem salah elsayed    |8139386235167160        |01/85            |100000.000000    |5000.000000          |12/85/2001        |APPROVED                      |22
kareem salah elsayed    |2539369821290074        |01/96            |100000.000000    |48550.000000         |12/85/2001        |APPROVED                      |23
kareem salah elsyeda    |2539369821290074        |12/85            |100000.000000    |48950.000000         |12/85/2001        |APPROVED                      |24
kareem salah elsayed    |2539369821290074        |12/85            |100000.000000    |49850.000000         |12/85/2001        |APPROVED                      |25
kareem salah elsayed    |2539369821290074        |12/85            |100000.000000    |1500.000000          |12/85/2001        |DECLINED_INSUFFECIENT_FUND    |26
kareem mesh salah elsa  |2539369821290074        |02/85            |100000.000000    |20.000000            |02/85/2002        |APPROVED                      |27
block                   |8139386235167160        |10/85            |100000.000000    |10.000000            |12/85/2001        |APPROVED                      |28
block                   |8139386235167160        |10/85            |100000.000000    |41.000000            |12/85/2001        |APPROVED                      |29
kareem salah elsayed    |2539369821290074        |25/85            |100000.000000    |10.000000            |12/85/2020        |APPROVED                      |30
kareem salah elsayed    |2539369821290074        |12/85            |100000.000000    |13.000000            |12/85/2001        |DECLINED_STOLEN_CARD          |31
01234567980123456789522 |8139386235167160        |12/85            |100000.000000    |45.000000            |12/85/2001        |DECLINED_STOLEN_CARD          |32
k102345678901234567895  |2539369821290074        |45/85            |100000.000000    |12.000000            |12/85/2001        |DECLINED_STOLEN_CARD          |33
kareem salah elsayed    |2539369821290074        |45/85            |100000.000000    |100.000000           |58/52/2001        |APPROVED                      |34
kareem salah elsayed    |2539369821290074        |12/58            |100000.000000    |150.000000           |02/25/2001        |DECLINED_INSUFFECIENT_FUND    |35
mohamed sami khalifaa   |6627046133958184        |12/85            |100000.000000    |14200.000000         |12/85/2001        |APPROVED                      |36
89457743621248121745454 |894577436212481217      |12/85            |100000.000000    |1.000000             |12/85/2001        |DECLINED_STOLEN_CARD          |37
89457743621248121745454 |894577436212481217      |12/85            |100000.000000    |1.000000             |45/45/2001        |DECLINED_STOLEN_CARD          |38
kareem salah elsayed    |894577436212481217      |12/25            |100000.000000    |1254.000000          |12/52/2001        |DECLINED_STOLEN_CARD          |39
kareem salah elsayed    |2539369821290074        |02/25            |100000.000000    |15.000000            |02/02/2023        |APPROVED                      |40
02539369821290074125    |2539369821290074        |12/85            |100000.000000    |4.000000             |12/52/2001        |APPROVED                      |41
253936982129007412122   |2539369821290074        |12/85            |100000.000000    |4.000000             |12/85/2006        |APPROVED                      |42
aahmed salah elsayed    |2539369821290074        |02/25            |100000.000000    |15000.000000         |02/02/2022        |APPROVED                      |43
hassan mahmoud abd elaal|019206787222052833      |02/45            |100000.000000    |15000.000000         |02/11/2022        |DECLINED_INSUFFECIENT_FUND    |44
